"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 22/04/1989,      0.1869,     20,      0.1850,     20,      0.2100,     20, 
00:00:00 23/04/1989,     21.3263,     20,      0.2100,     20,     61.1450,     20, 
00:00:00 24/04/1989,     33.4813,     20,     15.5335,     20,     61.1450,     20, 
00:00:00 25/04/1989,     68.9798,     30,     36.4205,     30,    165.5110,     30, 
00:00:00 26/04/1989,     27.9042,     30,      5.7106,     30,    137.2402,     30, 
00:00:00 27/04/1989,      3.7013,     10,      2.5280,     10,      5.7106,     10, 
00:00:00 28/04/1989,      1.9589,     10,      1.4059,     10,      2.5280,     10, 
00:00:00 29/04/1989,      1.1809,     10,      0.9649,     10,      1.4059,     10, 
00:00:00 30/04/1989,      0.8295,     20,      0.6827,     20,      0.9649,     20, 
00:00:00 01/05/1989,      0.6038,     20,      0.5305,     20,      0.6827,     20, 
00:00:00 02/05/1989,      0.4866,     20,      0.4535,     20,      0.5305,     20, 
00:00:00 03/05/1989,      0.4310,     20,      0.4080,     20,      0.4535,     20, 
00:00:00 04/05/1989,      0.3884,     20,      0.3755,     20,      0.4080,     20, 
00:00:00 05/05/1989,      0.3659,     20,      0.3540,     20,      0.3755,     20, 
00:00:00 06/05/1989,      0.3392,     20,      0.3220,     20,      0.3540,     20, 
00:00:00 07/05/1989,      1.1574,     20,      0.3190,     20,      2.1791,     20, 
00:00:00 08/05/1989,      1.9249,     10,      1.0745,     10,      4.2150,     10, 
00:00:00 09/05/1989,      2.3507,     10,      1.3381,     10,      4.1391,     10, 
00:00:00 10/05/1989,      1.1976,     10,      0.9241,     10,      1.3381,     10, 
00:00:00 11/05/1989,      0.6968,     20,      0.5570,     20,      0.9241,     20, 
00:00:00 12/05/1989,      0.5417,     20,      0.4840,     20,      0.6580,     20, 
00:00:00 13/05/1989,      0.7144,     20,      0.5965,     20,      1.0080,     20, 
00:00:00 14/05/1989,      0.6704,     20,      0.5110,     20,      1.0150,     20, 
00:00:00 15/05/1989,      2.8806,     20,      0.6103,     20,      4.4880,     20, 
00:00:00 16/05/1989,      2.5945,     10,      1.5310,     10,      5.7736,     10, 
00:00:00 17/05/1989,     18.4077,     20,      5.7736,     20,     22.0540,     20, 
00:00:00 18/05/1989,      6.6477,     20,      3.7639,     20,     13.9766,     20, 
00:00:00 19/05/1989,      3.4689,     20,      2.8270,     20,      3.7639,     20, 
00:00:00 20/05/1989,      2.7214,     20,      2.3449,     20,      3.1710,     20, 
00:00:00 21/05/1989,      2.2944,     20,      2.1390,     20,      2.6185,     20, 
00:00:00 22/05/1989,      2.2923,     20,      1.9855,     20,      2.9545,     20, 
00:00:00 23/05/1989,      1.8471,     20,      1.4595,     20,      2.4150,     20, 
00:00:00 24/05/1989,      1.2446,     20,      1.0645,     20,      1.4595,     20, 
00:00:00 25/05/1989,      1.0148,     20,      0.9470,     20,      1.0645,     20, 
00:00:00 26/05/1989,      1.0900,     20,      0.9000,     20,      1.3765,     20, 
00:00:00 27/05/1989,      2.8935,     20,      1.1465,     20,      6.8182,     20, 
00:00:00 28/05/1989,      6.4451,     20,      2.2204,     20,     11.5180,     20, 
00:00:00 29/05/1989,      1.5845,     10,      1.1390,     10,      2.2204,     10, 
00:00:00 30/05/1989,      0.9825,     10,      0.8550,     10,      1.1390,     10, 
00:00:00 31/05/1989,      0.7172,     10,      0.6080,     10,      0.8550,     10, 
00:00:00 01/06/1989,      0.5305,     10,      0.4645,     10,      0.6080,     10, 
00:00:00 02/06/1989,      0.4355,     10,      0.4100,     10,      0.4645,     10, 
00:00:00 03/06/1989,      0.4025,     10,      0.3995,     10,      0.4100,     10, 
00:00:00 04/06/1989,      0.3851,     10,      0.3795,     10,      0.3995,     10, 
00:00:00 05/06/1989,      0.5284,     10,      0.3795,     10,      0.9000,     10, 
00:00:00 06/06/1989,      1.0087,     10,      0.6290,     10,      1.6020,     10, 
00:00:00 07/06/1989,      0.4526,     10,      0.3830,     10,      0.6290,     10, 
00:00:00 08/06/1989,      0.3569,     10,      0.3445,     10,      0.3830,     10, 
00:00:00 09/06/1989,      0.3331,     10,      0.3195,     10,      0.3445,     10, 
00:00:00 10/06/1989,      0.3057,     10,      0.2935,     10,      0.3195,     10, 
00:00:00 11/06/1989,      0.2850,     10,      0.2770,     10,      0.2935,     10, 
00:00:00 12/06/1989,      0.2707,     10,      0.2590,     10,      0.2770,     10, 
00:00:00 13/06/1989,      0.2590,     10,      0.2580,     10,      0.2590,     10, 
00:00:00 14/06/1989,      0.2475,     10,      0.2410,     10,      0.2580,     10, 
00:00:00 15/06/1989,      0.2410,     10,      0.2410,     10,      0.2410,     10, 
00:00:00 16/06/1989,      0.2410,     10,      0.2410,     10,      0.2410,     10, 
00:00:00 17/06/1989,      0.2410,     10,      0.2410,     10,      0.2410,     10, 
00:00:00 18/06/1989,      0.2403,     10,      0.2355,     10,      0.2410,     10, 
00:00:00 19/06/1989,      0.2252,     10,      0.2170,     10,      0.2355,     10, 
00:00:00 20/06/1989,      0.2108,     10,      0.2080,     10,      0.2170,     10, 
00:00:00 21/06/1989,      0.2080,     10,      0.2080,     10,      0.2080,     10, 
00:00:00 22/06/1989,      0.2080,     10,      0.2080,     10,      0.2080,     10, 
00:00:00 23/06/1989,      0.2026,     20,      0.1940,     20,      0.2080,     20, 
00:00:00 24/06/1989,      0.1853,     20,      0.1830,     20,      0.1940,     20, 
00:00:00 25/06/1989,      0.1803,     20,      0.1720,     20,      0.1830,     20, 
00:00:00 26/06/1989,      0.1616,     20,      0.1525,     20,      0.1720,     20, 
00:00:00 27/06/1989,      0.1525,     20,      0.1525,     20,      0.1525,     20, 
00:00:00 28/06/1989,      0.1702,     20,      0.1525,     20,      0.3464,     20, 
00:00:00 29/06/1989,      0.7380,     10,      0.3464,     10,      1.0150,     10, 
00:00:00 30/06/1989,      0.3348,     10,      0.2965,     10,      0.4587,     10, 
00:00:00 01/07/1989,      0.3306,     10,      0.2965,     10,      0.3575,     10, 
00:00:00 02/07/1989,      2.1514,     10,      0.3365,     10,      5.0570,     10, 
00:00:00 03/07/1989,      1.9676,     10,      0.7758,     10,      4.0472,     10, 
00:00:00 04/07/1989,      0.5076,     10,      0.3914,     10,      0.7758,     10, 
00:00:00 05/07/1989,      0.3351,     10,      0.3025,     10,      0.3914,     10, 
00:00:00 06/07/1989,      0.2785,     10,      0.2570,     10,      0.3025,     10, 
00:00:00 07/07/1989,      0.2460,     10,      0.2365,     10,      0.2570,     10, 
00:00:00 08/07/1989,      0.2292,     10,      0.2240,     10,      0.2365,     10, 
00:00:00 09/07/1989,      0.2240,     10,      0.2240,     10,      0.2240,     10, 
00:00:00 10/07/1989,      2.4061,     10,      0.2240,     10,      7.1325,     10, 
00:00:00 11/07/1989,      0.7357,     10,      0.4062,     10,      1.5944,     10, 
00:00:00 12/07/1989,      0.3515,     10,      0.3170,     10,      0.4062,     10, 
00:00:00 13/07/1989,      0.2904,     10,      0.2680,     10,      0.3170,     10, 
00:00:00 14/07/1989,      0.2524,     10,      0.2390,     10,      0.2680,     10, 
00:00:00 15/07/1989,      0.2305,     10,      0.2240,     10,      0.2390,     10, 
00:00:00 16/07/1989,      0.2240,     10,      0.2240,     10,      0.2240,     10, 
00:00:00 17/07/1989,      0.2193,     10,      0.2145,     10,      0.2240,     10, 
00:00:00 18/07/1989,      0.2085,     20,      0.1995,     20,      0.2145,     20, 
00:00:00 19/07/1989,      0.1857,     20,      0.1830,     20,      0.1995,     20, 
00:00:00 20/07/1989,      0.1790,     20,      0.1670,     20,      0.1830,     20, 
00:00:00 21/07/1989,      0.1562,     20,      0.1525,     20,      0.1670,     20, 
00:00:00 22/07/1989,      0.1525,     20,      0.1525,     20,      0.1525,     20, 
00:00:00 23/07/1989,      0.1600,     20,      0.1525,     20,      0.1755,     20, 
00:00:00 24/07/1989,      0.2078,     20,      0.1755,     20,      0.2240,     20, 
00:00:00 25/07/1989,      0.1681,     20,      0.1455,     20,      0.2135,     20, 
00:00:00 26/07/1989,      0.1329,     20,      0.1265,     20,      0.1455,     20, 
00:00:00 27/07/1989,      0.1226,     20,      0.1115,     20,      0.1265,     20, 
00:00:00 28/07/1989,      0.1083,     20,      0.1035,     20,      0.1135,     20, 
00:00:00 29/07/1989,      0.1205,     20,      0.1135,     20,      0.1265,     20, 
00:00:00 30/07/1989,      0.1235,     20,      0.1145,     20,      0.1265,     20, 
00:00:00 31/07/1989,      0.1063,     20,      0.1035,     20,      0.1145,     20, 
00:00:00 01/08/1989,      0.1035,     20,      0.1035,     20,      0.1035,     20, 
00:00:00 02/08/1989,      0.1035,     20,      0.1035,     20,      0.1035,     20, 
00:00:00 03/08/1989,      0.1011,     20,      0.0935,     20,      0.1035,     20, 
00:00:00 04/08/1989,      0.0867,     20,      0.0845,     20,      0.0935,     20, 
00:00:00 05/08/1989,      0.0845,     20,      0.0845,     20,      0.0845,     20, 
00:00:00 06/08/1989,      0.0825,     20,      0.0765,     20,      0.0845,     20, 
00:00:00 07/08/1989,      0.0707,     20,      0.0685,     20,      0.0765,     20, 
00:00:00 08/08/1989,      0.0685,     20,      0.0685,     20,      0.0685,     20, 
00:00:00 09/08/1989,      0.0685,     20,      0.0685,     20,      0.0685,     20, 
00:00:00 10/08/1989,      0.0685,     20,      0.0685,     20,      0.0685,     20, 
00:00:00 11/08/1989,      0.0685,     20,      0.0685,     20,      0.0685,     20, 
00:00:00 12/08/1989,      0.0685,     20,      0.0685,     20,      0.0685,     20, 
00:00:00 13/08/1989,      0.0667,     20,      0.0615,     20,      0.0685,     20, 
00:00:00 14/08/1989,      0.0563,     20,      0.0545,     20,      0.0615,     20, 
00:00:00 15/08/1989,      0.0545,     20,      0.0545,     20,      0.0560,     20, 
00:00:00 16/08/1989,      0.0653,     20,      0.0560,     20,      0.0685,     20, 
00:00:00 17/08/1989,      0.0927,     20,      0.0685,     20,      0.1180,     20, 
00:00:00 18/08/1989,      2.4582,     20,      0.1180,     20,      8.3995,     20, 
00:00:00 19/08/1989,      1.6376,     10,      0.5475,     10,      5.6683,     10, 
00:00:00 20/08/1989,      0.3785,     10,      0.3075,     10,      0.5475,     10, 
00:00:00 21/08/1989,      0.2692,     10,      0.2365,     10,      0.3075,     10, 
00:00:00 22/08/1989,      0.2217,     10,      0.2100,     10,      0.2365,     10, 
00:00:00 23/08/1989,      0.1998,     20,      0.1860,     20,      0.2100,     20, 
00:00:00 24/08/1989,      0.1802,     20,      0.1695,     20,      0.1860,     20, 
00:00:00 25/08/1989,      0.1576,     20,      0.1530,     20,      0.1695,     20, 
00:00:00 26/08/1989,      0.1510,     20,      0.1435,     20,      0.1535,     20, 
00:00:00 27/08/1989,      0.1343,     20,      0.1285,     20,      0.1435,     20, 
00:00:00 28/08/1989,      0.1287,     20,      0.1285,     20,      0.1290,     20, 
00:00:00 29/08/1989,      0.1294,     20,      0.1290,     20,      0.1295,     20, 
00:00:00 30/08/1989,      0.1270,     20,      0.1185,     20,      0.1300,     20, 
00:00:00 31/08/1989,      0.1103,     20,      0.1075,     20,      0.1185,     20, 
00:00:00 01/09/1989,      0.1117,     20,      0.1080,     20,      0.1443,     20, 
00:00:00 02/09/1989,      0.2347,     20,      0.1443,     20,      0.3020,     20, 
00:00:00 03/09/1989,      0.1475,     20,      0.1225,     20,      0.2050,     20, 
00:00:00 04/09/1989,      0.1132,     20,      0.1045,     20,      0.1225,     20, 
00:00:00 05/09/1989,      0.0971,     20,      0.0905,     20,      0.1045,     20, 
00:00:00 06/09/1989,      0.0906,     20,      0.0905,     20,      0.0910,     20, 
00:00:00 07/09/1989,      0.0911,     20,      0.0910,     20,      0.0915,     20, 
00:00:00 08/09/1989,      0.0916,     20,      0.0915,     20,      0.0920,     20, 
00:00:00 09/09/1989,      0.0898,     20,      0.0835,     20,      0.0920,     20, 
00:00:00 10/09/1989,      0.0772,     20,      0.0750,     20,      0.0835,     20, 
00:00:00 11/09/1989,      0.0756,     20,      0.0755,     20,      0.0760,     20, 
00:00:00 12/09/1989,      0.0722,     20,      0.0660,     20,      0.0760,     20, 
00:00:00 13/09/1989,      0.0625,     20,      0.0615,     20,      0.0660,     20, 
00:00:00 14/09/1989,      0.0636,     20,      0.0615,     20,      0.0690,     20, 
00:00:00 15/09/1989,      0.0751,     20,      0.0690,     20,      0.0775,     20, 
00:00:00 16/09/1989,      0.0776,     20,      0.0775,     20,      0.0780,     20, 
00:00:00 17/09/1989,      0.0780,     20,      0.0780,     20,      0.0780,     20, 
00:00:00 18/09/1989,      0.0820,     20,      0.0618,     20,      0.0965,     20, 
00:00:00 19/09/1989,      0.0665,     20,      0.0505,     20,      0.0790,     20, 
00:00:00 20/09/1989,      0.0743,     20,      0.0690,     20,      0.0790,     20, 
00:00:00 21/09/1989,      0.0655,     20,      0.0640,     20,      0.0690,     20, 
00:00:00 22/09/1989,      0.0629,     20,      0.0555,     20,      0.0645,     20, 
00:00:00 23/09/1989,      0.0578,     20,      0.0520,     20,      0.0650,     20, 
00:00:00 24/09/1989,      0.0560,     20,      0.0520,     20,      0.0605,     20, 
00:00:00 25/09/1989,      0.0520,     20,      0.0415,     20,      0.0655,     20, 
00:00:00 26/09/1989,      0.0417,     20,      0.0415,     20,      0.0420,     20, 
00:00:00 27/09/1989,      0.0420,     20,      0.0420,     20,      0.0420,     20, 
00:00:00 28/09/1989,      0.0422,     20,      0.0420,     20,      0.0425,     20, 
00:00:00 29/09/1989,      0.0425,     20,      0.0425,     20,      0.0425,     20, 
00:00:00 30/09/1989,      0.0412,     20,      0.0370,     20,      0.0425,     20, 
00:00:00 01/10/1989,      0.0341,     20,      0.0335,     20,      0.0370,     20, 
00:00:00 02/10/1989,      0.0330,     20,      0.0305,     20,      0.0340,     20, 
00:00:00 03/10/1989,      0.0281,     20,      0.0265,     20,      0.0305,     20, 
00:00:00 04/10/1989,      0.0318,     20,      0.0285,     20,      0.0345,     20, 
00:00:00 05/10/1989,      0.0277,     20,      0.0265,     20,      0.0315,     20, 
00:00:00 06/10/1989,      0.0269,     20,      0.0265,     20,      0.0270,     20, 
00:00:00 07/10/1989,      0.0270,     20,      0.0270,     20,      0.0270,     20, 
00:00:00 08/10/1989,      0.0260,     20,      0.0230,     20,      0.0270,     20, 
00:00:00 09/10/1989,      0.0203,     20,      0.0195,     20,      0.0230,     20, 
00:00:00 10/10/1989,      0.0197,     20,      0.0195,     20,      0.0200,     20, 
00:00:00 11/10/1989,      0.0200,     20,      0.0200,     20,      0.0200,     20, 
00:00:00 12/10/1989,      0.0200,     20,      0.0200,     20,      0.0200,     20, 
00:00:00 13/10/1989,      0.0190,     20,      0.0170,     20,      0.0200,     20, 
00:00:00 14/10/1989,      0.0130,     20,      0.0090,     20,      0.0170,     20, 
00:00:00 15/10/1989,      0.0090,     20,      0.0090,     20,      0.0090,     20, 
00:00:00 16/10/1989,      0.0094,     20,      0.0090,     20,      0.0095,     20, 
00:00:00 17/10/1989,      0.0102,     20,      0.0095,     20,      0.0125,     20, 
00:00:00 18/10/1989,      0.0163,     20,      0.0125,     20,      0.0245,     20, 
00:00:00 19/10/1989,      0.0267,     20,      0.0220,     20,      0.0290,     20, 
00:00:00 20/10/1989,      0.0176,     20,      0.0155,     20,      0.0220,     20, 
00:00:00 21/10/1989,      0.0150,     20,      0.0135,     20,      0.0155,     20, 
00:00:00 22/10/1989,      0.0114,     20,      0.0100,     20,      0.0135,     20, 
00:00:00 23/10/1989,      0.0107,     20,      0.0100,     20,      0.0160,     20, 
00:00:00 24/10/1989,      0.0328,     20,      0.0160,     20,      0.0930,     20, 
00:00:00 25/10/1989,      0.0750,     20,      0.0565,     20,      0.0925,     20, 
00:00:00 26/10/1989,      0.0420,     20,      0.0300,     20,      0.0565,     20, 
00:00:00 27/10/1989,      0.0300,     20,      0.0300,     20,      0.0300,     20, 
00:00:00 28/10/1989,      0.0304,     20,      0.0300,     20,      0.0305,     20, 
00:00:00 29/10/1989,      0.0295,     20,      0.0265,     20,      0.0305,     20, 
00:00:00 30/10/1989,      0.0231,     20,      0.0200,     20,      0.0265,     20, 
00:00:00 31/10/1989,      0.0180,     20,      0.0170,     20,      0.0200,     20, 
00:00:00 01/11/1989,      0.0175,     20,      0.0170,     20,      0.0195,     20, 
00:00:00 02/11/1989,      0.2640,     20,      0.0195,     20,      2.2809,     20, 
00:00:00 03/11/1989,      1.7497,     10,      0.6217,     10,      3.3405,     10, 
00:00:00 04/11/1989,      0.4252,     10,      0.2900,     10,      0.6217,     10, 
00:00:00 05/11/1989,      0.2346,     20,      0.1846,     20,      0.2900,     20, 
00:00:00 06/11/1989,      0.1961,     20,      0.1730,     20,      0.2195,     20, 
00:00:00 07/11/1989,      0.1856,     20,      0.1375,     20,      0.2195,     20, 
00:00:00 08/11/1989,      0.1120,     20,      0.0990,     20,      0.1375,     20, 
00:00:00 09/11/1989,      0.0908,     20,      0.0810,     20,      0.0995,     20, 
00:00:00 10/11/1989,      0.1242,     20,      0.0812,     20,      0.1760,     20, 
00:00:00 11/11/1989,      0.1286,     20,      0.1085,     20,      0.1630,     20, 
00:00:00 12/11/1989,      0.1810,     20,      0.1005,     20,      0.2645,     20, 
00:00:00 13/11/1989,      0.3009,     10,      0.2645,     10,      0.3490,     10, 
00:00:00 14/11/1989,      0.2147,     20,      0.1470,     20,      0.2810,     20, 
00:00:00 15/11/1989,      0.1255,     20,      0.1075,     20,      0.1470,     20, 
00:00:00 16/11/1989,      0.0885,     20,      0.0695,     20,      0.1075,     20, 
00:00:00 17/11/1989,      0.0633,     20,      0.0585,     20,      0.0695,     20, 
00:00:00 18/11/1989,      0.0613,     20,      0.0545,     20,      0.0680,     20, 
00:00:00 19/11/1989,      0.1084,     20,      0.0680,     20,      0.1260,     20, 
00:00:00 20/11/1989,      0.2181,     20,      0.1260,     20,      0.4286,     20, 
00:00:00 21/11/1989,      0.6634,     10,      0.3643,     10,      1.0105,     10, 
00:00:00 22/11/1989,      0.2810,     20,      0.2380,     20,      0.3643,     20, 
00:00:00 23/11/1989,      0.2058,     20,      0.1750,     20,      0.2380,     20, 
00:00:00 24/11/1989,      0.1543,     20,      0.1385,     20,      0.1750,     20, 
00:00:00 25/11/1989,      0.1244,     20,      0.1075,     20,      0.1385,     20, 
00:00:00 26/11/1989,      0.0975,     20,      0.0895,     20,      0.1075,     20, 
00:00:00 27/11/1989,      0.0849,     20,      0.0835,     20,      0.0895,     20, 
00:00:00 28/11/1989,      0.0949,     20,      0.0835,     20,      0.1025,     20, 
00:00:00 29/11/1989,      0.0831,     20,      0.0830,     20,      0.0846,     20, 
00:00:00 30/11/1989,      0.0828,     20,      0.0800,     20,      0.0830,     20, 
00:00:00 01/12/1989,      0.0699,     20,      0.0665,     20,      0.0800,     20, 
00:00:00 02/12/1989,      0.0664,     20,      0.0660,     20,      0.0665,     20, 
00:00:00 03/12/1989,      0.0660,     20,      0.0660,     20,      0.0660,     20, 
00:00:00 04/12/1989,      0.0628,     20,      0.0535,     20,      0.0660,     20, 
00:00:00 05/12/1989,      0.0623,     20,      0.0525,     20,      0.0655,     20, 
00:00:00 06/12/1989,      0.0686,     20,      0.0650,     20,      0.0785,     20, 
00:00:00 07/12/1989,      0.3040,     20,      0.0785,     20,      0.6550,     20, 
00:00:00 08/12/1989,      0.2314,     20,      0.2065,     20,      0.2585,     20, 
00:00:00 09/12/1989,      0.1958,     20,      0.1720,     20,      0.2065,     20, 
00:00:00 10/12/1989,      0.1392,     20,      0.1115,     20,      0.1720,     20, 
00:00:00 11/12/1989,      0.0936,     20,      0.0775,     20,      0.1115,     20, 
00:00:00 12/12/1989,      0.0652,     20,      0.0565,     20,      0.0775,     20, 
00:00:00 13/12/1989,      0.0509,     20,      0.0460,     20,      0.0565,     20, 
00:00:00 14/12/1989,      0.0433,     20,      0.0395,     20,      0.0500,     20, 
00:00:00 15/12/1989,      0.0973,     20,      0.0500,     20,      0.1165,     20, 
00:00:00 16/12/1989,      0.1160,     20,      0.1160,     20,      0.1160,     20, 
00:00:00 17/12/1989,      0.1010,     20,      0.0850,     20,      0.1160,     20, 
00:00:00 18/12/1989,      0.0791,     20,      0.0765,     20,      0.1183,     20, 
00:00:00 19/12/1989,      0.2674,     20,      0.1183,     20,      0.3155,     20, 
00:00:00 20/12/1989,      0.1586,     20,      0.1345,     20,      0.2020,     20, 
00:00:00 21/12/1989,      0.1108,     20,      0.0830,     20,      0.1345,     20, 
00:00:00 22/12/1989,      0.0670,     20,      0.0550,     20,      0.0830,     20, 
00:00:00 23/12/1989,      0.0548,     20,      0.0480,     20,      0.0605,     20, 
00:00:00 24/12/1989,      0.0652,     20,      0.0600,     20,      0.0735,     20, 
00:00:00 25/12/1989,      0.2510,     20,      0.0735,     20,      0.3560,     20, 
00:00:00 26/12/1989,      0.2120,     20,      0.1570,     20,      0.2620,     20, 
00:00:00 27/12/1989,      0.1226,     20,      0.0945,     20,      0.1570,     20, 
00:00:00 28/12/1989,      0.0755,     20,      0.0620,     20,      0.0945,     20, 
00:00:00 29/12/1989,      0.0557,     20,      0.0510,     20,      0.0620,     20, 
00:00:00 30/12/1989,      0.0456,     20,      0.0390,     20,      0.0510,     20, 
00:00:00 31/12/1989,      0.0365,     20,      0.0360,     20,      0.0390,     20, 
00:00:00 01/01/1990,      0.0355,     20,      0.0325,     20,      0.0360,     20, 
00:00:00 02/01/1990,      0.0291,     20,      0.0280,     20,      0.0325,     20, 
00:00:00 03/01/1990,      0.0276,     20,      0.0275,     20,      0.0280,     20, 
00:00:00 04/01/1990,      0.0265,     20,      0.0235,     20,      0.0275,     20, 
00:00:00 05/01/1990,      0.0205,     20,      0.0195,     20,      0.0235,     20, 
00:00:00 06/01/1990,      0.0195,     20,      0.0195,     20,      0.0195,     20, 
00:00:00 07/01/1990,      0.0195,     20,      0.0195,     20,      0.0195,     20, 
00:00:00 08/01/1990,      0.0191,     20,      0.0190,     20,      0.0195,     20, 
00:00:00 09/01/1990,      0.0190,     20,      0.0190,     20,      0.0190,     20, 
00:00:00 10/01/1990,      0.0190,     20,      0.0190,     20,      0.0190,     20, 
00:00:00 11/01/1990,      0.0187,     20,      0.0185,     20,      0.0190,     20, 
00:00:00 12/01/1990,      0.0194,     20,      0.0185,     20,      0.0235,     20, 
00:00:00 13/01/1990,      0.0258,     20,      0.0235,     20,      0.0260,     20, 
00:00:00 14/01/1990,      0.0255,     20,      0.0225,     20,      0.0260,     20, 
00:00:00 15/01/1990,      0.0191,     20,      0.0180,     20,      0.0225,     20, 
00:00:00 16/01/1990,      0.1084,     20,      0.0180,     20,      0.2230,     20, 
00:00:00 17/01/1990,      0.1153,     20,      0.0710,     20,      0.1850,     20, 
00:00:00 18/01/1990,      0.0559,     20,      0.0435,     20,      0.0710,     20, 
00:00:00 19/01/1990,      0.0340,     20,      0.0255,     20,      0.0435,     20, 
00:00:00 20/01/1990,      0.0250,     20,      0.0250,     20,      0.0255,     20, 
00:00:00 21/01/1990,      0.0250,     20,      0.0250,     20,      0.0250,     20, 
00:00:00 22/01/1990,      0.0246,     20,      0.0245,     20,      0.0250,     20, 
00:00:00 23/01/1990,      0.0246,     20,      0.0245,     20,      0.0260,     20, 
00:00:00 24/01/1990,      0.0301,     20,      0.0260,     20,      0.0315,     20, 
00:00:00 25/01/1990,      0.0496,     20,      0.0315,     20,      0.0790,     20, 
00:00:00 26/01/1990,      0.0850,     20,      0.0785,     20,      0.0965,     20, 
00:00:00 27/01/1990,      0.0852,     20,      0.0585,     20,      0.0965,     20, 
00:00:00 28/01/1990,      0.0472,     20,      0.0415,     20,      0.0585,     20, 
00:00:00 29/01/1990,      0.0309,     20,      0.0235,     20,      0.0415,     20, 
00:00:00 30/01/1990,      0.0526,     20,      0.0269,     20,      0.0855,     20, 
00:00:00 31/01/1990,      0.0657,     20,      0.0615,     20,      0.0945,     20, 
00:00:00 01/02/1990,      0.0704,     20,      0.0615,     20,      0.1512,     20, 
00:00:00 02/02/1990,      1.4065,     20,      0.1512,     20,      3.4280,     20, 
00:00:00 03/02/1990,      3.0459,     10,      0.5878,     10,      6.5455,     10, 
00:00:00 04/02/1990,      0.3694,     10,      0.2685,     10,      0.5878,     10, 
00:00:00 05/02/1990,      0.2145,     20,      0.1760,     20,      0.2685,     20, 
00:00:00 06/02/1990,      0.1457,     20,      0.1270,     20,      0.1760,     20, 
00:00:00 07/02/1990,      0.1046,     20,      0.0910,     20,      0.1270,     20, 
00:00:00 08/02/1990,      0.0848,     20,      0.0735,     20,      0.0910,     20, 
00:00:00 09/02/1990,      0.0699,     20,      0.0605,     20,      0.0735,     20, 
00:00:00 10/02/1990,      0.0698,     20,      0.0585,     20,      0.0855,     20, 
00:00:00 11/02/1990,      0.0783,     20,      0.0585,     20,      0.0895,     20, 
00:00:00 12/02/1990,      0.0534,     20,      0.0490,     20,      0.0585,     20, 
00:00:00 13/02/1990,      0.1781,     20,      0.0455,     20,      0.4095,     20, 
00:00:00 14/02/1990,      0.1725,     20,      0.1022,     20,      0.2525,     20, 
00:00:00 15/02/1990,      0.0769,     20,      0.0600,     20,      0.1022,     20, 
00:00:00 16/02/1990,      0.0510,     20,      0.0445,     20,      0.0600,     20, 
00:00:00 17/02/1990,      0.0445,     20,      0.0445,     20,      0.0445,     20, 
00:00:00 18/02/1990,      0.0441,     20,      0.0440,     20,      0.0445,     20, 
00:00:00 19/02/1990,      0.0439,     20,      0.0435,     20,      0.0440,     20, 
00:00:00 20/02/1990,      0.0813,     20,      0.0435,     20,      0.1045,     20, 
00:00:00 21/02/1990,      0.1775,     20,      0.1040,     20,      0.2080,     20, 
00:00:00 22/02/1990,      0.1844,     20,      0.1495,     20,      0.2055,     20, 
00:00:00 23/02/1990,      0.1361,     20,      0.1035,     20,      0.3748,     20, 
00:00:00 24/02/1990,     32.5703,     20,      0.3748,     20,     58.8685,     20, 
00:00:00 25/02/1990,     62.0310,     30,     25.1705,     30,    138.3105,     30, 
00:00:00 26/02/1990,     15.7303,     20,      5.6910,     20,     53.0803,     20, 
00:00:00 27/02/1990,     13.2037,     20,      4.6297,     20,     21.9265,     20, 
00:00:00 28/02/1990,      3.6742,     10,      2.3470,     10,      4.6297,     10, 
00:00:00 01/03/1990,      1.9480,     10,      1.5914,     10,      2.3470,     10, 
00:00:00 02/03/1990,      1.3921,     10,      1.2036,     10,      1.5914,     10, 
00:00:00 03/03/1990,      8.7899,     20,      1.1935,     20,     22.4210,     20, 
00:00:00 04/03/1990,     12.3959,     20,      6.6407,     20,     19.9640,     20, 
00:00:00 05/03/1990,      3.8489,     10,      2.2778,     10,      6.6407,     10, 
00:00:00 06/03/1990,      1.9141,     10,      1.5830,     10,      2.2778,     10, 
00:00:00 07/03/1990,      1.4004,     10,      1.2380,     10,      1.5830,     10, 
00:00:00 08/03/1990,      1.1085,     10,      0.9745,     10,      1.2380,     10, 
00:00:00 09/03/1990,      0.8755,     10,      0.7930,     10,      0.9745,     10, 
00:00:00 10/03/1990,      0.7204,     10,      0.6570,     10,      0.7930,     10, 
00:00:00 11/03/1990,      0.6156,     10,      0.5845,     10,      0.6570,     10, 
00:00:00 12/03/1990,      0.5725,     10,      0.5610,     10,      0.5845,     10, 
00:00:00 13/03/1990,      0.6014,     10,      0.5205,     10,      0.8584,     10, 
00:00:00 14/03/1990,      0.7075,     10,      0.5875,     10,      0.8915,     10, 
00:00:00 15/03/1990,      0.5421,     10,      0.5165,     10,      0.5875,     10, 
00:00:00 16/03/1990,      0.5049,     10,      0.4985,     10,      0.5165,     10, 
00:00:00 17/03/1990,      0.4850,     10,      0.4715,     10,      0.4985,     10, 
