"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 16/06/1972,      0.1516,     20,      0.1445,     20,      0.1585,     20, 
00:00:00 17/06/1972,      0.1351,     20,      0.1320,     20,      0.1445,     20, 
00:00:00 18/06/1972,      0.1321,     20,      0.1320,     20,      0.1325,     20, 
00:00:00 19/06/1972,      0.1325,     20,      0.1325,     20,      0.1325,     20, 
00:00:00 20/06/1972,      0.1393,     20,      0.1325,     20,      0.1600,     20, 
00:00:00 21/06/1972,      0.1997,     20,      0.1600,     20,      0.2560,     20, 
00:00:00 22/06/1972,      0.2920,     10,      0.2560,     10,      0.3240,     10, 
00:00:00 23/06/1972,      0.2207,     20,      0.1900,     20,      0.2655,     20, 
00:00:00 24/06/1972,      0.1651,     20,      0.1470,     20,      0.1900,     20, 
00:00:00 25/06/1972,      0.1343,     20,      0.1220,     20,      0.1470,     20, 
00:00:00 26/06/1972,      0.1137,     20,      0.1110,     20,      0.1220,     20, 
00:00:00 27/06/1972,      0.1110,     20,      0.1110,     20,      0.1110,     20, 
00:00:00 28/06/1972,      0.1114,     20,      0.1110,     20,      0.1115,     20, 
00:00:00 29/06/1972,      0.1089,     20,      0.1010,     20,      0.1115,     20, 
00:00:00 30/06/1972,      0.0938,     20,      0.0915,     20,      0.1010,     20, 
00:00:00 01/07/1972,      0.0916,     20,      0.0915,     20,      0.0920,     20, 
00:00:00 02/07/1972,      0.0897,     20,      0.0830,     20,      0.0920,     20, 
00:00:00 03/07/1972,      0.0769,     20,      0.0745,     20,      0.0830,     20, 
00:00:00 04/07/1972,      0.0750,     20,      0.0750,     20,      0.0750,     20, 
00:00:00 05/07/1972,      0.0750,     20,      0.0750,     20,      0.0750,     20, 
00:00:00 06/07/1972,      0.0752,     20,      0.0750,     20,      0.0755,     20, 
00:00:00 07/07/1972,      0.0736,     20,      0.0680,     20,      0.0755,     20, 
00:00:00 08/07/1972,      0.0627,     20,      0.0610,     20,      0.0680,     20, 
